benefit_id,card_id,row_type,benefit_group,benefit_title,category,category_id,on_offline,benefit_type,benefit_value,benefit_unit,target_merchants,performance_level,performance_min,performance_max,min_amount,max_count,max_limit,max_limit_unit,group_max_limit,group_max_limit_unit,unit_amount,benefit_content,ui_title,ui_content,updated_at
00235_B0001,235,주요혜택,전기/수소차 청구할인,전기/수소차 충전 할인,자동차/주유,6,Both,할인,20,%,"전기차 충전기, 수소차 충전소",전월 실적 40만원 이상,400000,800000,0,,10000,원,,,,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",자동차/주유 20% 할인,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",2026-06-05
00235_B0002,235,주요혜택,전기/수소차 청구할인,전기/수소차 충전 할인,자동차/주유,6,Both,할인,20,%,"전기차 충전기, 수소차 충전소",전월 실적 80만원 이상,800000,1200000,0,,15000,원,,,,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",자동차/주유 20% 할인,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",2026-06-05
00235_B0003,235,주요혜택,전기/수소차 청구할인,전기/수소차 충전 할인,자동차/주유,6,Both,할인,20,%,"전기차 충전기, 수소차 충전소",전월 실적 120만원 이상,1200000,,0,,20000,원,,,,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",자동차/주유 20% 할인,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",2026-06-05
00235_B0004,235,주요혜택,"주차, 세차 청구할인","주차, 세차 할인",자동차/주유,6,Offline,할인,20,%,"주차장, 세차장",전월 실적 40만원 이상,400000,,0,,5000,원,,,,"[주차, 세차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>주차장, 세차장 업종</td><td>40만원 이상</td><td>20%</td><td>5천원</td></tr></table>",자동차/주유 20% 할인,"[주차, 세차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>주차장, 세차장 업종</td><td>40만원 이상</td><td>20%</td><td>5천원</td></tr></table>",2026-06-05
00235_B0005,235,주요혜택,OTT 청구할인,OTT 청구할인,구독/스트리밍,8,Online,할인,20,%,"넷플릭스, 티빙, 웨이브, 디즈니플러스, 유튜브프리미엄",전월 실적 40만원 이상,400000,,0,,5000,원,,,,"[OTT 청구할인]
- 공식 홈페이지/모바일앱을 통한 정기결제 시 할인
  (간편결제 및 앱스토어를 통한 인앱결제 등은 제외)
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>넷플릭스, 티빙, 웨이브, 디즈니 플러스, 유튜브 프리미엄</td><td>40만원 이상</td><td>20%</td><td>5천원</td></tr></table>",구독/스트리밍 20% 할인,"[OTT 청구할인]
- 공식 홈페이지/모바일앱을 통한 정기결제 시 할인
  (간편결제 및 앱스토어를 통한 인앱결제 등은 제외)
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>넷플릭스, 티빙, 웨이브, 디즈니 플러스, 유튜브 프리미엄</td><td>40만원 이상</td><td>20%</td><td>5천원</td></tr></table>",2026-06-05
00235_B0006,235,주요혜택,KB Pay 오픈마켓 청구할인,G마켓/옥션/11번가 할인,온라인쇼핑,1,Online,할인,10,%,"G마켓, 옥션, 11번가",전월 실적 40만원 이상,400000,,0,,5000,원,,,,"[KB Pay 오픈마켓 청구할인]
- G마켓, 옥션, 11번가에서 KB Pay 결제수단으로 결제 시 할인
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>G마켓, 옥션, 11번가</td><td>40만원 이상</td><td>10%</td><td>5천원</td></tr></table>",온라인쇼핑 10% 할인,"[KB Pay 오픈마켓 청구할인]
- G마켓, 옥션, 11번가에서 KB Pay 결제수단으로 결제 시 할인
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>G마켓, 옥션, 11번가</td><td>40만원 이상</td><td>10%</td><td>5천원</td></tr></table>",2026-06-05
00235_B0007,235,주요혜택,자동차보험 청구할인,자동차보험 청구할인,자동차/주유,6,Both,할인,10000,원,손해보험 업종,전월 실적 40만원 이상,400000,,200000,연 1회,,,,,,"[자동차보험 청구할인]
- 회원별 연1회(매년 1월1일~12월31일 기준) 할인서비스 제공
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인금액</th><th>조건</th></tr><tr><td>손해보험 업종</td><td>40만원 이상</td><td>1만원</td><td>보험료 승인금액 건당 20만원 이상 시</td></tr></table>",자동차/주유 10000원 할인,"[자동차보험 청구할인]
- 회원별 연1회(매년 1월1일~12월31일 기준) 할인서비스 제공
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인금액</th><th>조건</th></tr><tr><td>손해보험 업종</td><td>40만원 이상</td><td>1만원</td><td>보험료 승인금액 건당 20만원 이상 시</td></tr></table>",2026-06-05
00236_B0001,236,주요혜택,전기/수소차 청구할인,전기/수소차 충전 할인,자동차/주유,6,Offline,할인,20,%,"전기차 충전기, 수소차 충전소",전월 실적 40만원 이상 80만원 미만,400000,800000,,,10000,원,,,,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",자동차/주유 20% 할인,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",2026-06-05
00236_B0002,236,주요혜택,전기/수소차 청구할인,전기/수소차 충전 할인,자동차/주유,6,Offline,할인,20,%,"전기차 충전기, 수소차 충전소",전월 실적 80만원 이상 120만원 미만,800000,1200000,,,15000,원,,,,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",자동차/주유 20% 할인,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",2026-06-05
00236_B0003,236,주요혜택,전기/수소차 청구할인,전기/수소차 충전 할인,자동차/주유,6,Offline,할인,20,%,"전기차 충전기, 수소차 충전소",전월 실적 120만원 이상,1200000,,,,20000,원,,,,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",자동차/주유 20% 할인,"[전기/수소차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td rowspan=""3"">전기차 충전기 수소차 충전소</td><td>40만원 이상</td><td rowspan=""3"">20%</td><td>1만원</td></tr><tr><td>80만원 이상</td><td>1만5천원</td></tr><tr><td>120만원 이상</td><td>2만원</td></tr></table>",2026-06-05
